id,make,model,type,year_of_making,provider_id,created_at,updated_at,deleted_at
1f3a682a-a124-456f-8693-bf6557653fea,"Maruti Suzuki",800,Car,2024,NULL,"2024-09-05 10:03:41","2024-09-05 10:03:41","2024-09-12 02:05:08"
df83d598-fb52-41cf-8d60-9a4d3ad6c3c8,"Maruti Suzuki",Alto,Car,2024,NULL,"2024-09-05 10:04:02","2024-09-05 10:04:02","2024-09-12 02:05:19"
e8b15ce2-3b23-4b16-9140-df44516b1cb7,Amphere,Magnus,Bike,2024,NULL,"2024-09-12 01:56:32","2024-09-12 01:56:32",NULL
075e0a59-f213-4dc5-8d87-8824d28ebf03,Amphere,Nexus,Bike,2024,NULL,"2024-09-12 01:57:02","2024-09-12 01:57:02",NULL
58577fd4-1899-4886-93b4-2b6dc2589dd3,Amphere,Primus,Bike,2024,NULL,"2024-09-12 01:57:35","2024-09-12 01:57:35",NULL
dab29990-d30e-4275-8bf8-03378dbfe81d,Amphere,"Rio Li Plus",Bike,2024,NULL,"2024-09-12 01:58:24","2024-09-12 01:58:24",NULL
4b0da57a-852d-4ba5-9658-10fa918db7a7,Amphere,"Zeal EX",Bike,2024,NULL,"2024-09-12 01:59:11","2024-09-12 01:59:11",NULL
3e4ed619-cea6-42e4-b264-d0956a744128,Aprilia,"RS 457",Bike,2024,NULL,"2024-09-12 02:02:24","2024-09-12 02:02:39",NULL
97265a0e-2af1-4f34-aa8a-ba5902b7e5a8,Aprilia,"RS 660",Bike,2024,NULL,"2024-09-12 02:03:16","2024-09-12 02:03:16",NULL
b997d6a8-bb75-4216-895b-1557e39e3630,Aprilia,"RSV4 1100 Factory",Bike,2024,NULL,"2024-09-12 02:04:58","2024-09-12 02:04:58",NULL
2365f976-7eca-4cab-9b3f-6d6b71955abb,Aprilia,SR125,Bike,2024,NULL,"2024-09-12 02:10:05","2024-09-12 02:10:05",NULL
e4bbf592-e27e-48a8-8f37-ce381dfea4e5,Aprilia,SR160,Bike,2024,NULL,"2024-09-12 02:10:26","2024-09-12 02:10:26",NULL
185f5684-2d25-4fa3-9c84-b098fb981d2e,Aprilia,"Storm 125",Bike,2024,NULL,"2024-09-12 02:11:12","2024-09-12 02:11:12",NULL
617ac2e5-4044-48f0-99be-5a9a8283d760,Aprilia,"SXR 125",Bike,2024,NULL,"2024-09-12 02:12:02","2024-09-12 02:12:02",NULL
04e8a73c-387f-4599-b811-bf06050faec6,Aprilia,"SXR 160",Bike,2024,NULL,"2024-09-12 02:12:28","2024-09-12 02:12:28",NULL
ca7b9194-1b1b-481d-9684-70f62f332187,Aprilia,"Tuareg 660",Bike,2024,NULL,"2024-09-12 02:14:08","2024-09-12 02:14:08",NULL
9ad16b58-b468-4012-a324-31ff60914982,Aprilia,"Tuono 660",Bike,2024,NULL,"2024-09-12 02:14:43","2024-09-12 02:14:43",NULL
6204ce38-725b-4d83-b4b7-90e3224aff3c,Aprilia,"Tuono 660 Factory",Bike,2024,NULL,"2024-09-12 02:15:42","2024-09-12 02:15:42",NULL
a444e343-123c-4932-a2d1-3282f165f42a,Ather,"450 Apex",Bike,2024,NULL,"2024-09-12 02:17:19","2024-09-12 02:17:19",NULL
10fd666d-00d1-46cc-9673-cfab17f85a58,Ather,"450 S",Bike,2024,NULL,"2024-09-12 02:17:59","2024-09-12 02:17:59",NULL
dc0d0f98-83d5-4adf-b879-0126d36bbaa5,Ather,"450 X",Bike,2024,NULL,"2024-09-12 02:18:23","2024-09-12 02:18:23",NULL
6412089d-5ce9-42e0-9dca-c2ae3ba44a89,Ather,Rizta,Bike,2024,NULL,"2024-09-12 02:18:55","2024-09-12 02:18:55",NULL
66c5919c-a012-42c8-afe0-def636a74f95,Bajaj,"Avenger Cruise 220",Bike,2024,NULL,"2024-09-12 02:21:30","2024-09-12 02:21:30",NULL
